gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	Species
evm.TU.Contig8573.348	186.2413	0.980825	0.09731351	10.07902	6.84E-24	6.93E-23	KO
evm.TU.Contig8624.239	46.0989	3.042392	0.503997	6.036529	1.57E-09	5.60E-09	KO
evm.TU.Contig8624.763	50.94554	1.882385	0.2871721	6.5549	5.57E-11	2.24E-10	KO
evm.TU.Contig8624.764	1022.348	1.807162	0.3707866	4.873859	1.09E-06	2.93E-06	KO
evm.TU.Contig9220.1003	4880.13	3.432173	0.2974617	11.5382	8.47E-31	1.32E-29	KO
evm.TU.Contig9220.112	611.2922	2.047709	0.2087293	9.810358	1.02E-22	9.53E-22	KO
evm.TU.Contig9220.1196	1344.668	0.3435891	0.151365	2.269937	0.02321142	0.03573781	KO
evm.TU.Contig9220.155	937.1234	1.67115	0.4206916	3.972386	7.12E-05	0.00015626	KO
evm.TU.Contig9220.187	10036.45	0.4890557	0.1558525	3.13794	0.001701397	0.003116305	KO
evm.TU.Contig9220.389	0.08428058	-0.542109	3.003175	-0.1805119	0.8567507	NA	KO
evm.TU.Contig9220.416	6073.213	0.05318804	0.2452304	0.21689	0.828294	0.8579955	KO
evm.TU.Contig9220.828	44.35938	1.022806	0.2976827	3.435892	0.000590606	0.001153102	KO
evm.TU.Contig9867.645	3518.233	0.1076252	0.06252221	1.721392	0.0851797	0.117379	KO
evm.TU.Contig9867.833	72.8008	0.6210406	0.2300796	2.699243	0.006949742	0.01165202	KO
evm.TU.Contig9867.910	3.091344	2.370206	0.6295493	3.764925	0.000166599	0.000348999	KO
evm.TU.Contig9868.245	7.616393	2.249707	0.5769899	3.899041	9.66E-05	0.000208347	KO
evm.TU.Contig9868.426	2511.295	0.7154711	0.09538281	7.501048	6.33E-14	3.18E-13	KO
evm.TU.Contig9868.515	0	NA	NA	NA	NA	NA	KO
evm.TU.Contig9868.591	482.8395	1.135029	0.1471052	7.715765	1.20E-14	6.40E-14	KO
evm.TU.Contig10143.1024	63.68827347	-0.061356006	0.29343806	-0.209093553	0.834375208	0.881867344	KC
evm.TU.Contig10143.1029	1222.133307	1.11535842	0.292926924	3.807633676	0.000140303	0.000286471	KC
evm.TU.Contig10143.1163	708.711981	0.624649487	0.206002511	3.032242104	0.002427444	0.004213168	KC
evm.TU.Contig10143.352	1667.685927	3.49116195	0.917734192	3.804110143	0.000142315	0.000290391	KC
evm.TU.Contig10143.353	5062.65872	3.925507215	0.602390629	6.516547613	7.19E-11	2.87E-10	KC
evm.TU.Contig10143.770	1.582152454	3.768787149	1.259901228	2.991335403	0.002777602	0.00477949	KC
evm.TU.Contig10143.899	1796.159402	5.351050164	0.535650327	9.989819652	1.69E-23	2.11E-22	KC
evm.TU.Contig10440.53	4409.528318	4.446585627	0.395555432	11.24137166	2.55E-29	5.13E-28	KC
